x,y,z
132.601349,10.432755,-481.983429
114.481247,10.235510,-486.609985
96.500725,10.060317,-490.496094
78.475769,10.039849,-493.701050
60.423584,9.727578,-496.240265
42.517151,9.572648,-498.097046
24.320271,9.360776,-499.320465
6.152108,9.153048,-499.878357
-12.687204,9.473518,-499.749237
-30.071337,8.649441,-499.019928
-48.079254,8.477328,-497.610809
-66.136864,8.234390,-495.538177
-84.218903,8.008075,-492.791077
-102.154076,7.636749,-489.393738
-120.232635,7.335249,-485.273468
-138.338715,7.186520,-480.427704
132.601349,7.475163,-482.038391
114.481247,7.249534,-486.663635
96.500725,7.050500,-490.548584
78.475769,7.010368,-493.753387
60.423584,6.682522,-496.290588
42.517151,6.516202,-498.146393
24.320271,6.296827,-499.368469
6.152108,6.085680,-499.925110
-12.687204,6.406937,-499.797943
-30.071337,5.587349,-499.063660
-48.079254,5.423886,-497.653473
-66.136864,5.193670,-495.579407
-84.218903,4.984215,-492.830933
-102.154076,4.633742,-489.431396
-120.232635,4.357529,-485.309326
-138.338715,4.238535,-480.462738
132.601349,4.517291,-482.075165
114.481247,4.263286,-486.698914
96.500725,4.040417,-490.582611
78.475769,3.980622,-493.787109
60.423584,3.637214,-496.322266
42.517151,3.459510,-498.176971
24.320271,3.232642,-499.397736
6.152108,3.018082,-499.953033
-12.687204,3.340114,-499.827850
-30.071337,2.525047,-499.088501
-48.079254,2.370240,-497.677368
-66.136864,2.152754,-495.601929
-84.218903,1.960167,-492.852234
-102.154076,1.630560,-489.450592
-120.232635,1.379645,-485.326935
-138.338715,1.290392,-480.479675
132.601349,1.559248,-482.093811
114.481247,1.276877,-486.715912
96.500725,1.030183,-490.598175
78.475769,0.950726,-493.802246
60.423584,0.591770,-496.335205
42.517151,0.402689,-498.188843
24.320271,0.168334,-499.408142
6.152108,-0.049629,-499.962158
-12.687204,0.273165,-499.838928
-30.071337,-0.537351,-499.094604
-48.079254,-0.683496,-497.682526
-66.136864,-0.888243,-495.605804
-84.218903,-1.063954,-492.855011
-102.154076,-1.372683,-489.451416
-120.232635,-1.598291,-485.326233
-138.338715,-1.657801,-480.478577
132.601349,-1.398854,-482.094299
114.481247,-1.709580,-486.714600
