x,y,z
-4227.07715,14630.78516,-1220.35034
-3913.33105,15749.77051,-1213.93604
-4788.17920,16581.04297,-1280.62402
-5047.14893,17485.78711,-1242.61926
-5336.00049,18494.22266,-1200.27905
-1189.32056,-19716.45703,-947.33044
-499.16452,-19641.44727,-975.68365
231.40617,-18783.01562,-920.88251
222.84241,-18082.12109,-997.76965
-1715.56311,-17732.58398,-955.82385
-1050.03027,-17401.85352,-943.17316
-448.00980,-17622.87305,-983.84357
1554.77759,-17598.01172,-948.44745
4891.76318,-17696.29297,-920.11407
-1631.32825,-16856.01172,-1012.33643
828.73816,-16991.57422,-945.03174
2122.02905,-17000.86328,-929.81604
205.71489,-16686.37500,-1023.48706
3342.01562,-16734.40430,-944.96594
3985.33472,-16656.23438,-937.05139
4625.54688,-16731.95508,-976.60321
1446.02185,-16374.91406,-982.97272
2651.30859,-16355.57129,-909.24951
4518.91309,-16344.83398,-1058.24414
-2725.49146,-15921.86914,-943.68488
3825.19238,-15986.30273,-1000.52863
-3270.15552,-15641.52637,-916.93335
-2107.11987,-15762.02148,-940.00903
-1537.86230,-15884.10254,-1051.81824
-2632.51392,-15372.82715,-1005.83704
2502.52002,-15439.40625,-954.49500
3101.49072,-15530.38477,-974.47614
-3196.60474,-15283.93652,-990.10938
-2594.11011,-15142.19727,-1084.09509
-2022.99377,-15126.90527,-995.31372
-3069.11646,-14668.26758,-1040.64404
-2505.17480,-14616.37012,-1136.63452
-1942.04236,-14515.45605,-1044.57056
1789.98889,-14674.68945,-919.12225
-4071.03125,-14110.61914,-904.95081
-3543.97656,-14273.13672,-961.53119
-2953.88672,-14111.13672,-1088.17651
3419.82593,-14291.55859,-984.96289
-4041.15015,-14001.27246,-984.23578
-3451.63794,-13892.10059,-1064.45728
-1876.96362,-14022.57812,-1095.62830
-1342.85291,-13864.01562,-1003.52905
-832.85620,-13873.18750,-933.73218
2786.00513,-13950.97949,-963.02405
3821.96631,-13822.68555,-983.16144
-3948.18652,-13673.02539,-1045.51025
-2331.34717,-13595.43066,-1141.20630
-1842.04333,-13754.83594,-1159.66479
-1319.77490,-13619.44141,-1069.87036
-822.69116,-13618.31543,-989.80634
-346.30936,-13606.08594,-1011.12170
169.54036,-13746.67773,-927.87476
667.64056,-13678.22461,-929.24957
1202.57495,-13625.35449,-901.55676
3301.52832,-13796.52246,-1038.29248
-3898.38452,-13493.96777,-1115.14099
-1282.84998,-13231.76562,-1121.14734
-806.09174,-13337.33789,-1051.69153
-342.35095,-13450.33008,-999.32538
-297.25031,-13426.56641,-929.73102
180.74782,-13361.66504,-962.02649
688.81342,-13379.61816,-950.33008
1618.86926,-13266.46484,-912.67480
2108.01685,-13232.59082,-920.09052
-3275.61719,-13177.20898,-1091.04846
-2735.68555,-13062.32910,-1087.96350
-784.44043,-12972.57715,-1103.06274
160.97659,-13040.51562,-1041.11218
1146.68396,-12999.71289,-940.01959
2597.23706,-13006.08301,-979.57947
3147.02002,-13150.16699,-1073.07520
3587.82837,-12974.55371,-1005.71533
-325.60391,-12779.96387,-1107.58154
187.27661,-12785.41211,-976.29620
662.97705,-12895.71875,-994.62915
-3099.59668,-12462.54004,-1108.90906
1543.16406,-12373.24609,-906.32886
2028.90649,-12520.61426,-930.21875
3965.89307,-12554.49707,-903.93323
-2568.97021,-12259.79883,-1096.90759
623.03491,-12137.10449,-1010.22736
1081.35168,-12266.87793,-962.45020
3392.01074,-12265.04980,-1029.13843
-1578.55420,-11781.00098,-1066.09131
145.91618,-11814.47754,-1016.22107
1463.51672,-11738.41602,-932.55872
1922.44421,-11865.34277,-955.62915
3744.16455,-11849.89258,-967.49402
-3353.88354,-11603.11230,-1030.60022
-2877.40698,-11562.64844,-1100.38672
-1965.50024,-11455.84766,-1032.43384
-694.94818,-11486.39844,-1047.71985
2324.21997,-11639.25977,-949.88708
-2767.75464,-11115.31543,-1126.67554
-2367.93091,-11293.96973,-1080.38623
4048.72363,-11356.07910,-902.99823
-3184.55688,-11011.09766,-1046.15137
-1063.60876,-10964.52344,-996.83722
-282.67044,-11088.71680,-1029.59680
161.26961,-11081.25781,-913.30060
1764.39929,-10891.59375,-945.28259
3020.96216,-10922.06641,-986.35504
3935.03809,-11034.99316,-949.17041
-2203.66724,-10504.13867,-1069.91211
-1416.65125,-10566.62207,-1021.60364
-1023.22223,-10542.10449,-1023.68945
3338.72046,-10564.02441,-964.87799
-2978.70898,-10293.14844,-1041.70605
-2583.07739,-10367.00293,-1115.13037
508.87775,-10410.78223,-900.05847
2469.35474,-10317.88086,-907.47797
3680.76660,-10319.70801,-954.77179
-3311.86255,-10095.28027,-915.30951
-2910.64624,-10048.14062,-1110.16187
125.09737,-10123.29297,-933.36212
2742.51440,-9914.07031,-958.84644
-2849.22388,-9825.69434,-1177.48059
-2433.02710,-9758.15820,-1110.24878
-596.79541,-9858.38184,-960.24951
-245.82689,-9637.72461,-954.55096
480.86078,-9832.19824,-910.85095
1928.53394,-9658.39453,-909.98224
3052.94849,-9658.01953,-944.50604
3844.34741,-9643.75879,-903.41205
-3474.37256,-9389.13672,-925.06860
-3144.82837,-9590.83984,-929.70251
-1956.04578,-9317.80762,-1006.88055
-1619.86597,-9433.09375,-937.33807
-1280.14478,-9542.59473,-981.73431
-927.44843,-9549.48730,-986.48517
-567.20520,-9363.80859,-970.11224
3390.44507,-9503.53027,-941.14661
-2613.49463,-9005.97363,-1135.34338
-2274.32007,-9115.09180,-1093.77673
-1931.52881,-9194.74609,-1050.69812
-1563.27087,-9094.81055,-988.72540
-1210.30420,-9016.11621,-983.51349
-884.75403,-9103.93848,-996.95270
113.28529,-9162.06152,-901.46564
1826.78796,-9149.17969,-919.76923
2155.50269,-9005.34961,-906.59808
3268.80737,-9160.30176,-966.88007
3644.00854,-9138.71484,-916.11359
-3305.41138,-8936.23145,-937.81580
-2894.52393,-8834.55078,-939.17249
-1843.26770,-8768.27539,-1056.50659
-1498.59082,-8712.53418,-1001.29504
-227.55734,-8915.87207,-938.33453
108.41280,-8762.53613,-916.47620
2416.47192,-8734.22754,-900.76477
2835.71826,-8969.02832,-935.12372
-3524.02246,-8544.07227,-939.90881
-3161.40869,-8550.68262,-952.30316
-1138.87646,-8478.17969,-977.50977
-515.96368,-8512.30469,-934.72021
-215.37766,-8433.05371,-939.87354
1704.06750,-8534.89746,-911.96533
2034.83167,-8500.61133,-909.95020
2329.35864,-8418.11523,-922.23126
2668.97095,-8439.84180,-934.59064
3014.79834,-8446.25098,-946.65051
3426.02539,-8589.54688,-917.53809
-4101.13867,-8180.89209,-905.59064
-3734.65869,-8186.43506,-919.71649
-3439.47266,-8343.57520,-1000.59308
-3025.77856,-8187.66455,-964.54474
-2381.08569,-8198.60254,-1084.70752
-2069.44360,-8287.71875,-1046.11902
-1401.57068,-8142.57666,-986.45099
-492.86890,-8125.65771,-942.75775
101.47320,-8196.22070,-908.12012
-4007.06104,-7994.74512,-939.98322
-3643.17993,-7989.18848,-978.43854
-2598.48022,-7940.40723,-944.28680
-1982.87622,-7934.73242,-1051.06506
-1053.16309,-7834.40674,-952.03015
-786.67242,-8089.10693,-936.08453
2194.55054,-7929.68506,-919.71979
2502.30273,-7911.02734,-927.32178
3181.58447,-7974.23535,-904.30920
3532.14722,-7987.66162,-919.08441
-3158.98560,-7666.11426,-969.85168
-2859.67627,-7744.02881,-987.04065
-2545.38159,-7785.72705,-999.49799
-2215.07935,-7620.67041,-1055.86267
-1887.65198,-7547.39941,-1046.91833
-1639.77686,-7794.37109,-987.71576
-1330.82678,-7725.68994,-984.08185
-747.43976,-7680.08789,-936.54236
-455.33990,-7501.45264,-917.01782
-199.23955,-7795.68896,-917.30035
2728.84204,-7642.97607,-906.58325
3792.80396,-7779.23730,-907.14246
-3984.21338,-7279.78809,-923.70508
-3660.24731,-7305.03613,-934.12433
-2842.63623,-7282.80762,-984.19019
-2115.47534,-7271.67285,-1053.02246
-1561.32251,-7415.54346,-985.97864
-1247.95544,-7238.80762,-967.23730
-1002.37006,-7450.85986,-951.85028
-715.13055,-7342.46777,-941.12927
-187.05986,-7313.70947,-906.11810
2575.33838,-7210.90527,-902.53943
3304.17627,-7469.36719,-909.12085
3608.61230,-7398.44531,-912.38428
-4064.70923,-7113.85840,-936.63837
-3232.81201,-7092.45605,-940.01196
-2893.79370,-7028.41602,-981.95099
-2334.90552,-7146.89160,-962.57623
-2015.87158,-6923.01025,-1045.94116
-1780.88550,-7114.31982,-1031.37634
-1492.67505,-7083.58252,-986.11035
-1073.05591,-6997.96680,-957.95917
-428.63657,-7056.10156,-906.55212
2843.29639,-7121.56250,-901.58234
3408.79590,-6985.77979,-908.44232
3720.95947,-6947.61230,-912.96777
-4418.81543,-6832.88428,-901.51300
-4073.09863,-6834.90039,-957.91553
-3721.57031,-6802.42334,-982.97168
-3404.62329,-6797.12744,-939.79065
-3068.31445,-6735.95801,-983.81616
-2804.39453,-6814.34180,-997.10590
-2509.27173,-6804.53809,-977.21368
-1679.89001,-6704.76562,-1014.04510
-1424.02747,-6751.91211,-982.20703
-1034.80664,-6739.41602,-964.80817
-670.12836,-6874.87598,-924.10632
-4234.44727,-6547.91748,-912.37433
-3897.47925,-6541.03906,-988.00415
-3262.81250,-6515.55225,-945.90802
-2944.98462,-6468.64941,-1010.78351
-2638.21094,-6413.55078,-980.93286
-2252.06055,-6487.44922,-943.69641
-1945.28088,-6420.39062,-1002.49316
-1581.78027,-6307.21240,-993.54144
-1370.09021,-6490.25195,-984.84650
-636.66522,-6526.06592,-918.02051
-3962.96362,-6128.36182,-944.24976
-3656.68945,-6137.48682,-971.58374
-3365.47485,-6153.05566,-954.76050
-3098.32739,-6190.24072,-983.94806
-2769.39087,-6085.24023,-992.17102
-2490.35376,-6057.08350,-966.58282
-2011.63660,-6171.51660,-948.31628
-1633.05383,-6014.79883,-1003.78815
-1316.15283,-6228.82275,-984.31323
-1082.21265,-6260.90869,-954.18195
-843.64166,-6255.18457,-916.41486
-598.58649,-6130.33252,-900.74603
-4326.38867,-5725.43896,-920.28943
-4042.75415,-5759.46582,-915.37347
-3770.71826,-5831.40576,-1007.08197
-3460.13672,-5808.42676,-982.56104
-3206.62183,-5864.17676,-972.16132
-2903.90039,-5805.01318,-1003.89807
-2224.19067,-5818.95947,-941.95709
-1879.76807,-5771.76074,-923.49902
-1331.25366,-5757.14600,-962.58960
-1017.53259,-5881.10010,-933.25720
-4478.48926,-5498.44385,-904.68365
-3962.80762,-5644.91357,-1004.84875
-3426.50586,-5521.32812,-1005.01672
-2778.54297,-5556.06299,-999.56128
-2548.25366,-5602.65186,-970.41382
-2240.42188,-5454.90869,-943.00964
-2032.54175,-5525.96484,-936.98157
-1674.13965,-5518.55615,-966.25470
-1399.98853,-5565.20166,-981.95905
-1069.61694,-5564.26074,-933.53284
-4329.40088,-5313.66602,-959.31415
-3982.63159,-5268.81641,-970.14142
-3773.51392,-5374.58496,-1059.97192
-3327.46802,-5146.25049,-985.34949
-3194.50391,-5145.45801,-993.89862
-2877.86450,-5265.48242,-966.30762
-2415.82202,-5314.83789,-975.12158
-2215.80322,-5124.11328,-947.56836
-1882.25952,-5121.03418,-901.66937
-1643.57080,-5319.55957,-962.24524
-1322.07788,-5246.76953,-975.32172
-1027.98486,-5337.59863,-929.33960
-800.61133,-5193.58008,-906.76453
-4271.30908,-4865.14404,-939.67798
-4028.67188,-4942.35254,-991.85571
-3783.72168,-5003.86279,-1040.04321
-3395.80811,-4836.35498,-991.06989
-2555.39673,-4960.22607,-956.47772
-2298.61572,-4821.17969,-959.45764
-1924.03589,-4951.73438,-929.26941
-1654.20569,-5092.96631,-912.09772
-1334.09326,-4893.13965,-956.17065
-1055.04712,-4969.45947,-926.28381
-736.45068,-4969.80664,-904.74823
-490.11969,-4991.76611,-906.21350
-4048.25122,-4608.77100,-966.94696
-3813.96118,-4677.57080,-995.85046
-2784.26440,-4676.45312,-961.74640
-2519.55371,-4613.39453,-962.55225
-2239.53394,-4627.34619,-966.53595
-1880.58740,-4591.05859,-931.47687
-1701.91211,-4641.06250,-908.13507
-1365.12634,-4647.78516,-937.48480
-1056.78772,-4670.19385,-934.27130
-701.52600,-4636.37158,-906.59143
-459.54132,-4669.53076,-907.15613
-4076.72363,-4388.57227,-947.54846
-3705.62183,-4216.40869,-954.93530
-3130.56104,-4296.00391,-920.06689
-2792.64355,-4319.53027,-940.73511
-2509.10010,-4398.68262,-975.76459
-2218.79126,-4310.95703,-973.75897
-1974.04126,-4352.10547,-932.35345
-1755.31995,-4289.51709,-913.82349
-1287.10327,-4373.82812,-924.07275
-1027.20728,-4325.18848,-923.53204
-746.68469,-4271.28369,-922.00146
-510.25674,-4346.70557,-912.76807
-4122.78418,-4046.25073,-910.65979
-3859.56616,-4076.31567,-947.44153
-3173.75854,-4042.50391,-930.84003
-2833.35669,-4039.48657,-934.41986
-2540.32715,-4091.86768,-973.37537
-2258.67505,-4050.38184,-981.76263
-1931.70874,-4060.46045,-949.53125
-1697.06421,-4046.58008,-928.22430
-1225.68091,-4156.82129,-918.39154
-1092.71606,-4035.85547,-938.65857
-784.85474,-4029.20215,-919.92480
-561.89868,-4107.20020,-927.63983
-106.97836,-4117.33301,-900.43427
-3902.52954,-3827.71338,-912.49066
-3708.68115,-3773.68066,-921.09290
-3421.42847,-3891.92163,-914.01050
-3196.65210,-3725.43286,-919.27106
-2809.96533,-3783.39282,-940.26044
-2567.54614,-3807.84253,-987.87512
-2261.89233,-3803.28149,-986.77509
-1941.18420,-3722.20117,-968.58661
-1663.53357,-3755.56958,-937.74304
-1341.85889,-3684.56689,-903.22308
-1067.85559,-3723.07153,-924.76373
-740.06726,-3710.96484,-914.34558
-478.14856,-3738.61719,-905.16626
-3634.58813,-3561.76904,-912.39777
-3572.43628,-3499.23486,-927.60492
-3108.88159,-3444.33374,-913.38794
-2778.72900,-3401.52856,-935.43066
-2581.72900,-3472.38281,-966.96008
-2274.05249,-3468.66895,-976.59985
-1963.56958,-3417.38354,-966.51404
-1627.90735,-3515.41895,-941.07935
-1340.09058,-3440.98584,-907.01904
-1023.77521,-3482.88916,-916.25555
-764.06146,-3432.78442,-912.56226
-486.50266,-3532.54443,-901.18121
-3112.31836,-3159.89331,-910.32635
-2794.41309,-3171.91382,-918.86890
-2530.90796,-3154.98901,-950.88342
-2267.98340,-3107.32812,-973.75793
-1967.57019,-3128.38403,-961.47729
-1687.66248,-3099.24634,-929.37537
-1360.22144,-3124.87915,-912.77930
-1032.71558,-3184.76514,-909.98895
-770.41791,-3151.20508,-913.19989
-3304.02368,-2995.84399,-900.47180
-2532.03149,-2847.27319,-944.20471
-2306.56641,-2816.99634,-963.40039
